Country Name,Country Code,Indicator Name,Indicator Code,Land Area(Sqkm),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,BRN,Forest area (sq. km),AG.LND.FRST.K2,"5,270.00",4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3953,3936,3919,3902,3885,3868,3851,3834,3817,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
Indonesia,IDN,Forest area (sq. km),AG.LND.FRST.K2,"1,877,519.00",1185450,1168185,1150920,1133655,1116390,1099125,1081860,1064595,1047330,1030065,1012800,1011179.2,1009558.4,1007937.6,1006316.8,1004696,1003075.2,1001454.4,999833.6,998212.8,996592,987329.4,978066.8,968804.2,959541.6,950279,952718,939498,933442.7,927387.3,921332,915276.633,909221.311
Cambodia,KHM,Forest area (sq. km),AG.LND.FRST.K2,"176,520.00",110047.9,109824.11,109600.32,109376.53,109152.74,108928.95,108705.16,108481.37,108257.58,108033.79,107810,107618.23,107426.46,107234.69,107042.92,106851.15,106659.38,106467.61,106275.84,106084.07,105892.3,102407.48,98922.66,95437.84,91953.02,88468.2,86911.3,85354.4,83797.5,82240.6,80683.7,79126.8,77569.9
Laos,LAO,Forest area (sq. km),AG.LND.FRST.K2,"230,800.00",178430,178012,177594,177176,176758,176340,175922,175504,175086,174668,174250,173765.5,173281,172796.5,172312,171827.5,171343,170858.5,170374,169889.5,169405,169060,168715,168370,168025,167680,167335,166990,166645,166300,165955,165610,165265
Myanmar,MMR,Forest area (sq. km),AG.LND.FRST.K2,"652,670.00",392184.8,387834.43,383484.06,379133.69,374783.32,370432.95,366082.58,361732.21,357381.84,353031.47,348681.1,345253.99,341826.88,338399.77,334972.66,331545.55,328118.44,324691.33,321264.22,317837.11,314410,311512.88,308615.76,305718.64,302821.52,299924.4,297027.3,294130.2,291233.1,288336,285438.9,282541.8,279644.7
Malaysia,MYS,Forest area (sq. km),AG.LND.FRST.K2,"328,550.00",206185,205257.85,204330.7,203403.55,202476.4,201549.25,200622.1,199694.95,198767.8,197840.65,196913.5,196169.8,195426.1,194682.4,193938.7,193195,192451.3,191707.6,190963.9,190220.2,189476.5,190509.64,191542.78,192575.92,193609.06,194642.2,193146.4,192644.9,192143.4,191641.9,191140.4,190638.9,190137.4
Philippines,PHL,Forest area (sq. km),AG.LND.FRST.K2,"298,170.00",77788.1,77318.55,76849,76379.45,75909.9,75440.35,74970.8,74501.25,74031.7,73562.15,73092.6,72623.06,72153.52,71683.98,71214.44,70744.9,70275.36,69805.82,69336.28,68866.74,68397.2,68746.06,69094.92,69443.78,69792.64,70141.5,70490.4,70839.3,71188.1,71537,71885.9,72234.8,72583.7
Singapore,SGP,Forest area (sq. km),AG.LND.FRST.K2,733.2,148.269,150.456,152.642,154.829,157.015,159.202,161.389,163.575,165.762,167.948,170.135,170.861,171.588,172.315,173.042,173.769,174.496,175.223,175.95,176.677,177.404,174.866,172.328,169.79,167.252,164.714,162.855,161.1,159.3,157.5,155.7,153.9,152.1
Thailand,THA,Forest area (sq. km),AG.LND.FRST.K2,"510,890.00",193610,193247,192884,192521,192158,191795,191432,191069,190706,190343,189980,191055,192130,193205,194280,195355,196430,197505,198580,199655,200730,200706,200682,200658,200634,200610,200170,199810,199450,199090,198730,198370,198010
Vietnam,VNM,Forest area (sq. km),AG.LND.FRST.K2,"313,429.00",93759.6,96167.74,98575.88,100984.02,103392.16,105800.3,108208.44,110616.58,113024.72,115432.86,117841,119444.96,121048.92,122652.88,124256.84,125860.8,127464.76,129068.72,130672.68,132276.64,133880.6,135228.2,136575.8,137923.4,139271,140618.6,143776.8,144153.9,144912.9,145671.9,146430.9,147189.9,147948.9
